mem_no,gender,age,addr_no,join_date
193295,women,47,9004,2014-03-23
176430,man,61,9006,2010-12-25
158534,women,63,9009,2015-07-18
131937,women,31,9008,2013-11-18
188339,women,31,9006,2015-08-05
116096,women,47,9006,2015-10-05
127804,women,45,9017,2014-12-10
109477,man,51,9016,2013-11-09
102555,man,61,9003,2012-08-08
126212,man,58,9002,2019-03-10
108205,man,20,9006,2018-08-13
107997,man,32,9005,2011-01-07
125445,man,37,9007,2019-06-08
104387,man,57,9012,2017-11-05
162254,man,47,9003,2010-03-04
133173,man,59,9015,2018-10-20
179247,man,41,9014,2011-01-06
166172,women,50,9003,2015-10-02
128658,women,64,9005,2019-12-19
144422,women,32,9009,2016-04-15
165930,women,34,9008,2013-01-22
153652,women,43,9007,2015-02-22
166341,man,35,9001,2020-11-05
108730,man,44,9006,2012-09-27
171842,man,44,9008,2011-05-07
149640,man,59,9012,2020-05-03
185562,man,53,9007,2011-08-03
147128,women,65,9011,2017-07-03
162693,women,54,9008,2013-04-15
199152,women,26,9009,2011-01-29
176022,women,62,9002,2013-01-17
171659,women,54,9015,2015-01-29
106321,man,20,9004,2013-10-19
123934,man,35,9004,2016-10-22
178127,man,46,9012,2011-12-24
132378,man,58,9014,2018-08-31
108295,man,50,9005,2012-12-17
177787,man,27,9012,2020-10-22
135070,man,25,9004,2016-04-15
138071,man,34,9004,2011-12-10
127386,man,48,9002,2010-01-19
113028,man,27,9007,2013-03-22
181035,women,31,9009,2018-11-05
109175,man,51,9016,2015-02-24
109699,women,53,9017,2011-11-15
182335,man,23,9009,2010-03-27
174270,women,26,9014,2020-03-17
159266,man,60,9005,2011-08-19
127427,women,59,9015,2018-07-04
163895,man,53,9014,2010-03-13
126465,women,22,9006,2016-05-23
129946,man,41,9009,2010-01-10
182065,man,54,9005,2015-08-21
145052,man,20,9009,2011-07-06
122099,man,24,9016,2014-12-29
102070,man,32,9013,2017-05-22
114108,man,21,9011,2015-11-28
179880,women,32,9003,2014-02-26
137056,women,63,9015,2011-10-27
106183,women,44,9003,2017-05-23
159583,women,37,9011,2020-12-03
184087,women,63,9014,2019-05-19
116061,women,50,9009,2020-03-11
105083,women,65,9005,2010-08-29
169774,women,21,9001,2017-07-23
115538,women,42,9017,2010-03-07
138736,women,47,9008,2011-08-19
195100,man,47,9004,2020-06-25
115567,man,55,9014,2012-03-06
127481,man,37,9003,2012-06-07
164423,man,51,9011,2019-01-19
138897,man,65,9014,2017-10-30
147236,man,63,9013,2014-09-16
175482,man,59,9009,2019-10-15
135806,man,57,9012,2015-04-18
100644,man,62,9017,2012-02-22
196448,man,54,9007,2017-02-11
177696,women,39,9008,2014-04-17
168265,women,57,9001,2011-06-18
182325,women,55,9003,2017-04-29
136086,women,41,9001,2014-07-31
161121,women,63,9007,2010-03-19
102756,women,43,9012,2013-10-10
152097,women,55,9007,2013-05-16
195577,women,23,9014,2015-03-23
180538,women,57,9013,2015-03-23
112483,women,34,9007,2012-04-10
141445,man,48,9013,2017-03-21
166155,women,26,9005,2020-03-22
153394,man,51,9009,2012-10-01
113240,women,37,9008,2011-01-23
137060,man,52,9002,2019-04-05
186246,women,48,9008,2020-02-13
166113,man,46,9014,2015-04-23
179476,women,51,9003,2013-05-17
138796,man,33,9014,2017-03-15
182704,women,58,9015,2011-10-31
175274,man,49,9008,2020-11-15
123430,man,62,9010,2018-02-04
107429,man,23,9013,2016-12-02
107522,man,23,9009,2011-03-31
169663,man,60,9015,2012-11-05
124772,man,39,9015,2017-09-25
192091,man,50,9001,2016-10-03
165759,man,44,9005,2013-03-02
134504,man,35,9003,2013-03-04
155002,man,44,9008,2016-12-23
156603,man,21,9006,2011-03-18
150051,man,65,9013,2018-02-26
141195,man,50,9005,2012-02-10
125981,man,40,9016,2010-10-22
193356,man,32,9010,2016-05-31
123556,man,46,9012,2015-09-21
150456,man,42,9007,2013-09-12
111881,man,27,9013,2020-10-01
126893,man,36,9008,2018-03-12
106242,man,25,9005,2015-11-25
183293,man,63,9016,2010-07-27
178782,man,41,9009,2020-10-21
117719,women,21,9012,2017-02-11
112300,women,42,9001,2014-06-04
193207,women,21,9013,2015-03-31
191881,women,58,9005,2020-11-02
151335,women,44,9004,2011-12-06
168924,women,48,9005,2016-01-11
159972,women,63,9002,2017-11-29
191946,women,62,9009,2020-05-20
185306,women,42,9003,2010-10-04
168363,women,49,9007,2020-11-18
121801,women,51,9012,2017-05-11
137503,man,56,9002,2020-04-19
150060,women,30,9008,2015-08-18
176462,man,43,9012,2011-11-20
100223,women,54,9008,2014-08-06
107167,man,21,9009,2010-02-24
149258,women,58,9004,2017-06-18
131580,man,63,9012,2017-03-31
158902,women,25,9003,2012-10-09
153790,women,42,9002,2013-11-30
193079,women,49,9006,2011-02-03
126125,women,51,9004,2020-07-24
144889,women,59,9005,2012-02-27
159938,women,46,9011,2016-11-15
113106,women,59,9003,2018-09-05
194926,women,27,9003,2016-05-01
105344,man,24,9014,2015-07-24
139943,man,28,9002,2010-02-20
116183,man,37,9016,2013-06-12
134964,man,61,9009,2018-10-24
146857,man,55,9013,2015-04-17
181654,women,64,9001,2011-11-02
168008,women,40,9001,2010-09-08
128953,women,59,9006,2015-10-04
140732,women,53,9016,2016-01-05
118848,women,22,9002,2010-07-24
195631,women,51,9008,2019-03-30
146097,women,38,9013,2018-04-09
190754,women,27,9008,2015-02-09
137016,women,25,9016,2019-12-29
129231,man,49,9005,2020-10-08
133661,man,65,9001,2020-06-13
106469,man,33,9005,2020-10-09
176597,man,47,9013,2015-07-10
170692,man,48,9008,2013-07-25
112911,man,48,9004,2019-02-17
176341,man,27,9007,2013-05-13
167315,man,65,9003,2017-09-10
103197,man,35,9013,2011-07-05
130994,man,30,9010,2013-11-28
170164,man,54,9006,2017-10-20
171901,man,37,9017,2010-03-19
188669,man,26,9003,2015-07-29
131705,man,25,9014,2017-10-03
102758,man,50,9003,2014-06-13
197730,man,49,9014,2013-04-28
196452,man,48,9002,2020-12-04
168064,man,46,9015,2011-07-21
187703,man,57,9009,2017-04-22
186482,man,65,9005,2011-12-18
179225,man,22,9011,2015-12-11
124749,man,54,9004,2019-08-05
179239,man,23,9006,2012-06-28
182400,man,35,9001,2019-09-20
133775,man,39,9014,2019-02-03
110539,man,57,9008,2018-05-07
151740,women,53,9009,2013-06-03
138270,women,26,9009,2011-05-29
125845,women,23,9008,2018-03-12
189997,women,26,9007,2016-04-17
145485,women,41,9014,2020-10-19
195741,women,49,9007,2012-11-04
180918,women,28,9008,2014-05-07
195094,women,37,9001,2010-04-03
116504,man,35,9007,2010-05-25
139025,man,51,9010,2016-03-04
100448,man,22,9017,2019-09-21
161832,man,39,9006,2017-04-28
149688,man,31,9006,2017-09-29
150104,man,28,9003,2012-06-04
138237,man,20,9013,2014-05-10
164649,man,28,9012,2011-02-18
118538,man,48,9013,2018-04-14
152164,women,53,9002,2019-05-22
172462,women,54,9005,2017-12-05
149480,women,62,9007,2017-08-18
193490,women,29,9009,2015-11-19
161696,women,44,9012,2017-11-10
191967,women,44,9003,2018-09-27
113684,women,23,9015,2011-11-20
153889,women,28,9001,2019-12-21
188857,women,33,9013,2016-11-14
120090,women,39,9009,2011-05-16
159273,women,20,9014,2018-08-01
159592,women,32,9007,2019-01-22
174890,women,32,9006,2014-04-25
147157,women,49,9014,2015-07-07
132932,women,29,9017,2018-01-18
107813,women,55,9009,2013-02-21
125761,women,27,9006,2010-02-09
139431,women,42,9015,2010-10-12
190101,man,20,9013,2013-01-02
159474,man,59,9008,2014-09-12
188828,man,47,9008,2010-07-22
169419,man,47,9002,2016-12-16
167479,man,45,9013,2016-10-25
112335,man,34,9014,2020-06-03
147154,man,62,9009,2013-07-21
181759,man,43,9011,2019-12-10
180245,man,33,9005,2020-09-08
189997,man,24,9011,2014-10-25
114919,man,54,9016,2016-05-03
101003,man,59,9013,2010-07-24
152614,man,21,9002,2011-01-23
114603,man,34,9003,2020-09-17
199978,man,34,9017,2020-06-10
134655,man,59,9003,2020-01-01
127949,man,60,9003,2018-11-19
159175,women,25,9015,2017-11-21
137235,man,29,9010,2014-09-20
155703,man,48,9016,2014-05-16
145062,man,56,9007,2013-01-13
115712,man,61,9005,2010-10-06
131614,man,53,9010,2011-06-24
160661,man,23,9013,2013-05-22
103219,man,50,9006,2017-03-11
110031,man,47,9017,2016-03-17
117041,man,61,9003,2020-03-04
106018,man,32,9017,2015-04-21
188872,man,46,9013,2019-02-28
134772,man,46,9011,2018-04-25
168914,man,45,9004,2014-06-13
153046,man,46,9014,2020-05-10
101765,man,46,9008,2016-06-11
131467,man,38,9012,2016-11-14
197821,women,30,9013,2014-02-18
106626,women,28,9011,2013-02-06
183188,women,20,9009,2012-08-23
176372,women,24,9007,2015-11-20
178264,women,37,9015,2018-12-05
116862,women,27,9005,2019-01-21
186180,women,60,9013,2012-10-04
140012,women,21,9002,2018-07-30
157497,man,26,9012,2016-06-25
130713,man,26,9005,2018-06-11
139353,man,63,9015,2017-12-23
107084,man,20,9016,2017-05-18
188085,man,46,9010,2014-04-18
178684,man,52,9014,2011-12-24
170703,man,40,9015,2012-11-21
171948,man,31,9015,2020-07-14
129387,man,23,9011,2011-08-20
175192,man,56,9014,2018-11-27
125377,man,30,9017,2010-05-07
161939,man,42,9010,2018-10-09
125916,women,36,9006,2010-05-31
177153,women,45,9003,2017-03-25
171317,women,47,9006,2014-01-31
155256,women,26,9009,2020-04-15
170736,women,64,9003,2011-03-30
107733,women,42,9004,2010-04-08
113489,women,25,9009,2014-02-21
193315,women,22,9006,2016-05-28
120134,women,38,9002,2015-06-05
196166,women,42,9015,2010-08-17
156859,women,50,9008,2020-02-08
197775,women,51,9012,2020-05-04
139257,women,52,9007,2016-08-04
194979,women,60,9011,2018-05-29
168948,women,57,9007,2014-06-18
176843,women,43,9015,2016-11-06
198314,women,38,9017,2020-09-11
186220,women,52,9005,2010-06-02
179600,women,27,9002,2011-06-22
111830,women,50,9012,2011-09-02
129670,women,41,9014,2019-11-02
188187,man,50,9007,2017-03-12
128065,man,59,9006,2014-09-24
113855,man,42,9010,2010-03-28
108438,man,21,9007,2010-01-25
176126,man,21,9016,2013-12-25
166139,man,29,9010,2017-11-18
148758,man,36,9012,2019-03-19
160959,man,39,9015,2020-07-02
110132,women,44,9012,2011-09-23
191406,women,59,9015,2019-01-26
134565,man,29,9017,2014-07-20
189092,man,40,9013,2020-12-27
149652,man,32,9006,2013-09-24
190649,women,23,9009,2017-08-03
174665,women,21,9013,2019-12-18
197946,women,35,9007,2015-06-25
145518,women,38,9011,2014-03-29
118681,man,58,9016,2018-12-17
177733,man,43,9005,2012-11-06
105744,man,50,9011,2019-05-21
133144,man,53,9006,2020-12-13
161067,man,39,9012,2018-12-24
119031,man,39,9010,2020-02-20
180121,man,29,9015,2020-10-01
126948,man,56,9003,2019-04-05
161709,man,24,9009,2013-05-08
156917,man,41,9008,2015-05-26
180874,man,62,9013,2019-04-21
144784,man,64,9010,2015-04-10
165058,man,53,9006,2011-01-09
161644,man,39,9010,2015-08-04
132358,man,45,9002,2014-01-03
197998,man,61,9004,2018-01-07
197900,man,61,9016,2013-06-01
187931,man,34,9001,2015-03-30
133326,man,50,9016,2017-04-25
152643,man,23,9008,2020-08-25
104428,man,50,9006,2014-05-23
124557,man,41,9005,2018-09-25
184289,man,40,9003,2011-02-18
102547,man,21,9013,2010-03-13
139395,man,55,9017,2014-06-05
133378,man,56,9005,2018-03-23
159963,man,45,9004,2010-03-28
173880,women,57,9010,2019-05-18
117413,women,52,9013,2015-07-28
127451,women,46,9002,2016-01-16
188897,women,44,9013,2012-09-11
146452,women,46,9002,2012-03-23
136157,women,62,9013,2013-01-18
159892,women,48,9013,2010-06-29
168933,women,59,9003,2014-05-17
198822,women,62,9013,2012-11-12
143704,women,46,9002,2019-01-30
131989,women,34,9006,2018-05-24
156557,women,64,9001,2019-03-22
154199,women,53,9017,2016-10-18
171887,women,22,9012,2011-11-26
102426,women,55,9002,2012-04-19
195683,man,29,9009,2014-01-15
122505,man,56,9005,2017-09-26
105501,man,60,9015,2014-09-20
184107,man,65,9004,2011-12-15
160091,man,64,9006,2011-01-06
152493,man,44,9011,2010-12-02
185402,man,24,9004,2010-10-31
115611,man,38,9005,2018-01-06
115622,man,40,9012,2018-03-25
170622,man,63,9008,2011-11-24
131829,man,63,9002,2019-06-27
164086,man,23,9009,2016-12-24
120057,man,30,9012,2012-12-29
146965,man,22,9012,2012-10-16
145844,man,39,9005,2014-08-19
170926,women,24,9011,2015-03-16
175084,women,33,9006,2013-01-19
199347,women,25,9016,2014-07-27
190754,women,38,9002,2016-11-05
101204,women,30,9011,2019-10-17
166097,women,45,9002,2012-02-16
159515,women,56,9002,2018-07-05
191143,women,41,9016,2016-09-28
180438,women,65,9009,2018-04-17
127741,women,65,9002,2013-11-23
189697,women,62,9012,2015-05-12
128732,women,27,9016,2020-04-29
150121,women,45,9011,2010-05-27
122237,women,41,9013,2014-06-03
100736,women,33,9016,2016-06-17
114586,man,39,9001,2010-04-05
169859,man,43,9017,2019-08-26
165279,man,45,9007,2014-07-05
128073,man,28,9008,2010-12-16
196855,man,38,9013,2019-04-06
185877,man,43,9017,2019-04-17
182419,women,46,9003,2017-07-20
161265,women,26,9013,2019-09-02
170136,women,24,9007,2020-10-26
160395,man,23,9011,2018-02-21
178696,women,30,9006,2016-09-25
171563,women,25,9016,2016-10-30
173789,women,52,9004,2012-03-19
186065,women,58,9005,2019-04-30
191481,women,60,9003,2013-09-27
100942,women,21,9008,2012-10-01
110783,women,59,9014,2020-09-08
158946,women,46,9002,2012-09-19
109942,women,44,9014,2015-10-13
108662,man,43,9002,2014-09-18
105072,man,26,9005,2016-12-30
190053,man,36,9007,2013-03-03
188299,man,30,9007,2020-10-27
176731,man,62,9017,2015-10-20
168080,man,21,9008,2012-07-17
134620,man,23,9017,2018-05-26
146662,man,65,9012,2020-12-24
190847,man,40,9015,2017-03-11
188157,man,21,9011,2016-10-17
101544,man,31,9017,2019-12-02
156232,man,29,9007,2020-04-03
185192,man,37,9017,2014-05-23
149342,man,61,9008,2012-10-20
190060,women,52,9009,2012-08-31
151309,man,42,9010,2020-01-04
181440,man,21,9016,2017-12-18
172321,man,43,9004,2011-07-13
198402,man,39,9010,2019-03-14
143721,man,42,9013,2015-12-01
169126,man,34,9005,2015-12-01
132456,man,21,9006,2010-05-12
130833,man,46,9013,2020-03-29
196659,man,36,9006,2018-10-22
149802,women,46,9004,2017-06-15
126838,women,63,9007,2013-10-23
157089,man,30,9007,2019-08-03
114712,man,34,9009,2016-08-04
132982,man,29,9003,2014-05-30
183256,man,49,9007,2015-03-29
153381,man,32,9017,2014-01-21
177636,man,37,9002,2018-03-11
146150,man,46,9003,2010-12-08
178973,man,35,9015,2016-04-23
184891,man,65,9006,2019-01-14
195217,women,22,9011,2018-09-12
178620,women,35,9009,2010-08-12
109237,women,57,9015,2016-11-20
193718,man,57,9017,2017-12-08
170905,man,60,9016,2013-07-18
145688,man,46,9008,2011-09-12
163852,man,26,9017,2019-10-26
131620,women,64,9015,2010-03-29
186073,women,50,9008,2014-10-25
118517,women,34,9017,2017-02-07
183905,women,55,9010,2013-11-11
137496,women,23,9005,2013-12-09
198195,women,55,9017,2014-07-29
144624,women,26,9011,2017-02-20
156111,women,47,9001,2020-03-01
113888,women,37,9010,2015-09-18
132239,man,43,9011,2015-05-21
110631,man,24,9017,2014-04-25
160581,women,40,9002,2014-03-14
175018,women,26,9017,2014-07-17
123745,women,45,9011,2017-05-13
183051,women,32,9004,2015-02-02
137748,man,20,9012,2014-02-10
114398,man,25,9002,2012-04-08
168289,women,31,9004,2015-08-01
132287,man,37,9016,2013-10-27
159246,man,42,9016,2019-01-25
159696,women,27,9008,2014-07-31
167335,man,31,9016,2012-07-23
157558,man,62,9006,2013-12-22
156477,man,37,9001,2016-10-15
163131,man,40,9001,2015-01-22
109297,man,49,9011,2012-09-09
194542,women,43,9007,2016-01-07
113507,man,31,9014,2014-04-11
114319,man,48,9011,2015-05-09
166630,man,47,9015,2013-07-20
144192,man,53,9002,2012-04-10
109730,man,23,9002,2011-08-27
122791,man,38,9004,2018-06-23
170860,man,47,9007,2013-04-21
157495,man,53,9017,2019-07-16
157517,man,45,9006,2019-11-14
188410,women,47,9009,2020-07-31
172829,women,61,9006,2010-03-24
171589,women,39,9005,2020-07-22
189984,women,41,9002,2019-07-11
117393,women,56,9017,2010-12-11
148811,women,40,9012,2013-06-03
112433,women,55,9003,2017-08-16
142640,women,38,9015,2013-11-09
188884,women,61,9017,2019-06-13
130848,women,65,9011,2010-10-25
106786,women,61,9013,2010-12-07
101857,women,57,9016,2010-07-15
115634,women,52,9010,2019-02-08
139998,women,46,9012,2013-06-06
138431,man,55,9004,2019-03-06
190768,women,26,9001,2010-04-16
111626,women,32,9006,2020-03-25
156623,women,26,9016,2017-06-23
117782,women,23,9013,2019-01-07
114118,women,31,9010,2016-02-24
130380,women,26,9009,2013-11-12
124579,women,60,9006,2011-03-25
105570,women,41,9005,2014-06-06
139246,women,60,9006,2019-02-11
168318,man,35,9009,2020-02-13
198316,man,52,9003,2018-07-18
120340,man,49,9006,2017-06-15
114632,man,63,9006,2020-09-10
191184,man,24,9013,2012-01-12
111112,man,42,9007,2017-09-10
185422,man,51,9011,2018-09-04
179567,man,64,9015,2014-04-22
128590,man,34,9017,2010-11-11
128465,man,53,9012,2020-08-04
114674,man,48,9012,2010-03-05
185251,man,27,9006,2012-03-05
160655,man,31,9010,2017-01-18
118399,man,21,9006,2020-06-15
105160,man,54,9012,2014-04-23
193771,man,25,9011,2015-02-13
152624,man,28,9011,2015-03-30
192250,man,48,9007,2019-06-18
169464,man,54,9005,2013-08-11
173179,man,50,9004,2015-03-26
128160,man,23,9014,2015-11-01
105786,man,55,9015,2010-02-17
161306,man,35,9004,2020-09-30
151270,man,64,9002,2018-03-05
108611,man,63,9004,2012-09-12
176547,man,22,9006,2011-08-07
168138,man,44,9010,2017-11-07
119674,man,52,9012,2013-01-11
158907,man,23,9010,2017-11-28
157692,man,64,9008,2017-01-28
166626,man,39,9012,2018-01-26
103744,man,57,9007,2017-11-29
191943,women,54,9010,2017-10-16
175089,man,26,9010,2010-12-06
173287,women,48,9001,2010-05-13
148625,man,58,9005,2020-08-28
183767,women,58,9011,2019-04-03
136209,man,37,9002,2018-01-10
100660,women,57,9017,2014-10-04
148176,women,35,9014,2018-01-05
104528,women,33,9004,2020-12-27
178569,man,22,9004,2010-11-21
157829,man,45,9007,2011-01-15
197339,man,36,9006,2014-09-25
158341,man,58,9006,2018-08-14
174973,man,55,9003,2019-03-14
116284,man,51,9008,2013-03-15
143528,man,42,9007,2015-11-06
137608,man,46,9012,2012-10-05
175169,man,42,9011,2020-02-13
104753,man,59,9003,2018-02-10
124025,man,59,9014,2010-12-17
100460,man,33,9002,2020-02-19
122684,women,20,9008,2013-08-19
106052,women,50,9004,2015-09-08
183956,women,56,9011,2019-11-16
109885,women,56,9006,2016-03-24
163831,women,38,9012,2012-07-01
186860,women,45,9016,2015-09-07
100499,women,40,9011,2014-04-29
176665,women,54,9002,2010-04-13
123896,women,49,9005,2017-09-20
106205,women,21,9006,2011-02-07
182309,women,61,9012,2020-11-19
198436,women,26,9005,2019-01-17
195965,women,55,9011,2011-08-31
142166,women,33,9015,2020-05-13
193859,man,54,9004,2014-04-03
143191,man,22,9006,2012-06-04
150445,man,40,9003,2019-01-07
151080,man,61,9008,2015-10-28
111012,man,49,9016,2011-08-14
184293,man,29,9007,2011-07-06
127964,man,46,9015,2014-10-28
132187,man,30,9014,2012-06-07
191144,man,24,9016,2010-01-13
114576,women,56,9004,2018-04-24
149683,women,46,9005,2011-06-01
145625,women,54,9003,2012-12-23
138407,women,53,9005,2011-11-15
182746,women,29,9015,2020-03-28
134762,women,47,9004,2010-08-21
180384,women,54,9012,2020-11-23
133186,women,25,9016,2010-04-12
126861,women,49,9006,2011-02-11
171664,women,53,9016,2010-07-06
146197,women,42,9002,2015-01-22
149799,women,55,9009,2013-04-06
113816,women,25,9006,2017-05-30
100195,man,26,9015,2013-03-25
131121,man,43,9007,2010-05-23
140265,man,41,9017,2011-05-01
181031,women,64,9010,2010-12-26
115180,women,63,9003,2018-10-05
111261,women,64,9001,2010-10-17
143818,man,33,9010,2017-05-04
120221,women,30,9006,2017-10-04
163581,women,52,9016,2018-01-27
182359,women,41,9016,2018-08-28
187437,women,35,9004,2013-09-16
115098,women,56,9002,2013-03-28
174986,women,51,9014,2011-12-24
124005,women,59,9011,2010-08-13
167866,women,50,9004,2019-11-25
184261,women,29,9013,2014-01-23
130082,man,29,9003,2010-03-22
119650,man,61,9005,2020-04-29
108769,man,62,9012,2012-11-12
101953,man,27,9005,2012-05-31
188379,man,53,9004,2011-12-29
189786,man,61,9006,2012-08-27
198923,women,30,9012,2016-12-29
141666,man,23,9004,2017-08-20
165080,women,65,9006,2014-01-15
130963,man,20,9011,2018-06-02
107652,women,61,9013,2014-06-18
150693,women,45,9012,2020-10-26
134608,women,56,9003,2019-01-12
117787,women,53,9004,2012-05-02
143830,women,39,9002,2012-03-15
123659,man,39,9012,2020-12-19
184361,man,46,9009,2015-02-17
113195,man,26,9006,2012-04-25
119242,man,41,9017,2018-10-16
174659,man,52,9015,2015-02-20
120814,man,47,9012,2014-03-25
119840,man,23,9014,2020-10-03
149561,man,32,9015,2014-06-26
112126,man,47,9012,2013-11-19
164720,women,32,9001,2012-10-30
159965,women,39,9012,2017-10-01
178657,women,57,9006,2020-07-29
122923,man,33,9005,2020-12-31
128419,women,58,9012,2020-09-28
199549,man,35,9003,2011-06-24
149473,women,28,9015,2012-10-11
122885,man,54,9009,2016-09-09
118345,man,28,9016,2018-10-23
148401,man,56,9002,2019-05-19
139185,man,62,9007,2018-06-04
198759,man,22,9005,2011-06-21
127990,man,55,9006,2015-02-01
181102,man,52,9009,2016-07-24
167569,man,38,9007,2014-03-05
119409,man,41,9002,2010-04-22
117854,man,49,9016,2015-09-30
123393,man,37,9013,2013-11-03
188477,man,56,9012,2012-07-20
197619,man,25,9013,2018-01-22
177703,women,47,9008,2010-08-18
107682,women,27,9004,2020-03-18
146439,women,52,9014,2018-09-30
184299,man,65,9012,2012-07-07
167199,man,24,9007,2020-02-06
135034,man,56,9013,2018-12-13
183314,man,56,9012,2011-07-09
185066,man,63,9017,2020-02-28
130656,man,55,9017,2017-02-16
146509,man,49,9003,2013-11-19
192162,man,57,9001,2017-05-06
121990,man,63,9012,2011-03-10
156647,man,38,9001,2014-08-12
186297,man,20,9014,2017-10-31
144033,man,41,9014,2011-09-15
133043,man,49,9004,2014-10-20
179608,man,46,9006,2012-04-07
150096,man,51,9005,2011-01-24
105088,man,45,9007,2019-08-04
197595,man,43,9010,2012-12-05
169788,man,48,9002,2017-09-27
158511,women,27,9004,2020-01-18
188719,women,49,9011,2012-07-31
148669,women,55,9013,2011-06-30
155672,women,39,9004,2015-09-10
129431,women,29,9013,2013-06-22
114901,women,51,9005,2019-03-28
172282,women,35,9013,2017-11-12
195877,women,39,9007,2018-03-17
134257,women,45,9014,2017-02-02
186059,man,29,9002,2012-03-04
180845,man,56,9011,2016-11-26
173734,man,38,9005,2013-11-07
181956,man,65,9002,2018-02-27
121936,man,55,9012,2013-01-24
141995,man,48,9011,2013-08-05
195154,women,31,9009,2013-02-06
174601,man,54,9017,2013-01-06
183740,women,28,9004,2020-02-12
100039,man,22,9016,2017-05-23
139963,women,29,9015,2017-11-16
103062,man,65,9010,2010-04-11
191989,women,34,9012,2018-07-12
152640,women,46,9016,2019-11-19
152864,women,62,9003,2018-09-22
151025,man,22,9012,2012-06-24
158415,man,33,9015,2020-02-15
106426,man,54,9009,2017-05-14
170879,man,46,9009,2017-01-19
117236,women,28,9001,2020-02-22
196590,women,61,9009,2015-07-30
133260,man,63,9004,2020-10-11
106694,women,53,9010,2020-11-09
180163,women,34,9011,2014-06-17
175918,man,39,9007,2014-01-06
150772,women,59,9002,2020-08-30
199951,women,50,9001,2015-10-17
197326,man,60,9005,2014-06-28
112585,man,43,9003,2019-10-17
131345,man,41,9014,2011-04-21
123267,women,26,9010,2016-03-06
154327,women,37,9015,2017-11-14
111470,women,21,9016,2010-11-30
181524,women,58,9004,2018-01-27
183196,women,46,9010,2012-03-21
187435,women,64,9016,2018-11-15
173336,man,50,9012,2013-05-13
107355,man,52,9010,2010-03-14
115469,man,39,9008,2011-12-10
107789,women,40,9011,2013-06-22
109170,women,29,9003,2011-03-12
161756,women,59,9012,2016-12-21
132503,man,38,9016,2016-05-28
118771,man,34,9012,2014-09-04
177986,man,49,9015,2016-04-06
129917,man,26,9002,2011-06-06
143091,man,44,9004,2016-05-30
149985,man,56,9007,2019-03-10
193061,women,56,9006,2013-05-08
180927,man,47,9014,2010-06-04
170593,women,65,9005,2016-06-25
112952,man,25,9015,2013-04-27
137884,women,57,9011,2020-05-20
153137,man,48,9001,2010-02-17
143215,women,64,9007,2016-11-04
152151,women,61,9013,2010-12-01
177670,women,23,9004,2013-08-18
190532,man,60,9006,2010-01-30
184836,man,39,9007,2013-06-24
101347,man,52,9016,2014-12-06
186937,women,22,9012,2019-07-03
151450,women,63,9004,2010-03-20
136090,women,37,9007,2020-03-15
158657,women,21,9011,2010-03-01
192640,women,24,9007,2010-01-13
174473,women,62,9008,2011-03-01
183569,man,42,9004,2017-03-05
169954,man,57,9007,2011-03-25
193236,man,42,9012,2011-03-19
142772,man,61,9010,2020-09-21
155580,man,38,9004,2012-10-11
196320,man,37,9013,2019-05-19
153859,man,61,9008,2019-11-20
175565,man,34,9009,2010-10-05
141130,man,64,9001,2020-02-10
197574,man,26,9004,2015-01-10
134329,man,30,9017,2016-03-20
111071,man,41,9008,2020-05-28
181045,man,41,9014,2012-08-12
119705,man,46,9001,2019-01-17
167139,women,62,9014,2018-03-02
189159,man,40,9017,2016-11-29
196962,women,38,9017,2020-11-11
163842,women,43,9011,2011-10-21
104695,man,34,9014,2014-06-21
155316,man,20,9016,2012-08-30
185287,man,50,9013,2018-10-28
113966,women,65,9002,2019-12-20
122561,man,26,9014,2019-02-26
131739,women,59,9016,2011-10-05
157547,women,31,9001,2013-05-17
164884,man,32,9010,2016-02-19
147160,man,47,9003,2010-08-07
169561,man,50,9003,2017-07-19
112410,women,39,9005,2019-04-15
165233,man,60,9002,2012-12-29
164465,women,49,9010,2016-11-16
166680,women,53,9006,2010-10-01
127191,man,59,9006,2010-09-27
120793,man,48,9014,2010-12-06
136434,man,33,9005,2017-01-04
132414,women,21,9006,2011-05-17
185910,man,54,9005,2020-04-02
180114,women,40,9010,2015-09-01
110489,women,55,9008,2014-06-21
182617,man,63,9006,2015-11-02
126249,man,21,9006,2018-03-27
115572,man,43,9010,2020-10-03
151015,women,60,9010,2020-05-01
182274,man,47,9004,2014-07-28
159024,women,55,9008,2018-08-07
199463,women,56,9010,2015-10-02
142187,man,39,9001,2015-07-05
133001,man,53,9005,2016-08-10
127195,man,29,9001,2019-02-25
104225,women,30,9013,2014-08-11
185012,man,59,9010,2012-08-29
199610,women,65,9005,2018-04-29
184775,women,41,9012,2016-05-28
143981,man,22,9017,2016-08-12
153232,man,47,9002,2013-04-17
116458,man,47,9014,2010-08-08
127834,women,38,9005,2019-06-08
197241,man,54,9004,2020-08-29
164644,women,28,9003,2013-06-10
188644,women,22,9011,2018-04-03
183919,man,37,9009,2015-09-18
142760,man,33,9010,2014-08-24
196474,man,28,9001,2014-06-23
168261,women,54,9014,2017-02-04
122296,man,21,9008,2018-03-01
189352,women,62,9016,2019-08-04
170353,women,25,9010,2013-03-13
164315,man,65,9016,2012-08-13
105295,man,41,9007,2013-07-13
169527,man,34,9002,2010-10-27
110905,women,28,9016,2014-08-25
128615,women,53,9009,2016-12-15
